# verify transcript
Generated: 2026-06-08T16:43:19.179741+00:00


## compose-static
Command: bun run check:compose
Exit code: 0

[PASS] compose parses as valid YAML  (docker-compose.yml)
[PASS] no host Docker socket mounted  (none)
[PASS] no host workspace bind mounted  (none)
[PASS] exact 10 runtime-role services are defined  (ok)
[PASS] legacy shared runtime services removed  (ok)
[PASS] egress-proxy is the only edge service  (egress-proxy)
[PASS] claw_internal network is internal:true  ({"driver":"bridge","internal":true})
[PASS] service zeroclaw-researcher-coder defined  (ok)
[PASS] zeroclaw-researcher-coder uses only claw_internal  (networks=[claw_internal])
[PASS] zeroclaw-researcher-coder has restart policy  (unless-stopped)
[PASS] zeroclaw-researcher-coder has healthcheck  (ok)
[PASS] zeroclaw-researcher-coder routes egress via proxy  (HTTP_PROXY,HTTPS_PROXY,NO_PROXY,LLM_PROVIDER,LLM_MODEL,OPENAI_WIRE_API,TARGET_REPO,TARGET_BRANCH,GCLOUD_PROJECT,GCLOUD_SECRET_PREFIX,JEO_BRANCH_NAMESPACE,JEO_RUNTIME,JEO_ROLE,JEO_WORKTREE)
[PASS] zeroclaw-researcher-coder declares runtime and role  (HTTP_PROXY,HTTPS_PROXY,NO_PROXY,LLM_PROVIDER,LLM_MODEL,OPENAI_WIRE_API,TARGET_REPO,TARGET_BRANCH,GCLOUD_PROJECT,GCLOUD_SECRET_PREFIX,JEO_BRANCH_NAMESPACE,JEO_RUNTIME,JEO_ROLE,JEO_WORKTREE)
[PASS] zeroclaw-researcher-coder drops all caps  (cap_drop ALL)
[PASS] zeroclaw-researcher-coder no-new-privileges  (security_opt)
[PASS] zeroclaw-researcher-coder read-only rootfs  (true)
[PASS] zeroclaw-researcher-coder tmpfs scratch  (["/tmp","/run"])
[PASS] zeroclaw-researcher-coder has no control or direct role secret env  (ok)
[PASS] zeroclaw-researcher-coder has one writable state volume  (/root/.zeroclaw)
[PASS] zeroclaw-researcher-coder has one writable worktree volume  (/workspace)
[PASS] service zeroclaw-reviewer defined  (ok)
[PASS] zeroclaw-reviewer uses only claw_internal  (networks=[claw_internal])
[PASS] zeroclaw-reviewer has restart policy  (unless-stopped)
[PASS] zeroclaw-reviewer has healthcheck  (ok)
[PASS] zeroclaw-reviewer routes egress via proxy  (HTTP_PROXY,HTTPS_PROXY,NO_PROXY,LLM_PROVIDER,LLM_MODEL,OPENAI_WIRE_API,TARGET_REPO,TARGET_BRANCH,GCLOUD_PROJECT,GCLOUD_SECRET_PREFIX,JEO_BRANCH_NAMESPACE,JEO_RUNTIME,JEO_ROLE,JEO_WORKTREE)
[PASS] zeroclaw-reviewer declares runtime and role  (HTTP_PROXY,HTTPS_PROXY,NO_PROXY,LLM_PROVIDER,LLM_MODEL,OPENAI_WIRE_API,TARGET_REPO,TARGET_BRANCH,GCLOUD_PROJECT,GCLOUD_SECRET_PREFIX,JEO_BRANCH_NAMESPACE,JEO_RUNTIME,JEO_ROLE,JEO_WORKTREE)
[PASS] zeroclaw-reviewer drops all caps  (cap_drop ALL)
[PASS] zeroclaw-reviewer no-new-privileges  (security_opt)
[PASS] zeroclaw-reviewer read-only rootfs  (true)
[PASS] zeroclaw-reviewer tmpfs scratch  (["/tmp","/run"])
[PASS] zeroclaw-reviewer has no control or direct role secret env  (ok)
[PASS] zeroclaw-reviewer has one writable state volume  (/root/.zeroclaw)
[PASS] zeroclaw-reviewer has one writable worktree volume  (/workspace)
[PASS] service zeroclaw-pr-creator defined  (ok)
[PASS] zeroclaw-pr-creator uses only claw_internal  (networks=[claw_internal])
[PASS] zeroclaw-pr-creator has restart policy  (unless-stopped)
[PASS] zeroclaw-pr-creator has healthcheck  (ok)
[PASS] zeroclaw-pr-creator routes egress via proxy  (HTTP_PROXY,HTTPS_PROXY,NO_PROXY,LLM_PROVIDER,LLM_MODEL,OPENAI_WIRE_API,TARGET_REPO,TARGET_BRANCH,GCLOUD_PROJECT,GCLOUD_SECRET_PREFIX,JEO_BRANCH_NAMESPACE,JEO_RUNTIME,JEO_ROLE,JEO_WORKTREE)
[PASS] zeroclaw-pr-creator declares runtime and role  (HTTP_PROXY,HTTPS_PROXY,NO_PROXY,LLM_PROVIDER,LLM_MODEL,OPENAI_WIRE_API,TARGET_REPO,TARGET_BRANCH,GCLOUD_PROJECT,GCLOUD_SECRET_PREFIX,JEO_BRANCH_NAMESPACE,JEO_RUNTIME,JEO_ROLE,JEO_WORKTREE)
[PASS] zeroclaw-pr-creator drops all caps  (cap_drop ALL)
[PASS] zeroclaw-pr-creator no-new-privileges  (security_opt)
[PASS] zeroclaw-pr-creator read-only rootfs  (true)
[PASS] zeroclaw-pr-creator tmpfs scratch  (["/tmp","/run"])
[PASS] zeroclaw-pr-creator has no control or direct role secret env  (ok)
[PASS] zeroclaw-pr-creator has one writable state volume  (/root/.zeroclaw)
[PASS] zeroclaw-pr-creator has one writable worktree volume  (/workspace)
[PASS] service zeroclaw-pr-review-scheduler defined  (ok)
